A,B,Deduction
1000.00,1249.99,36.30
1250.00,1749.99,54.50
1750.00,2249.99,72.70
2250.00,2749.99,90.80
2750.00,3249.99,109.00
3250.00,3749.99,127.20
3750.00,4249.99,145.30
4250.00,4749.99,163.50
4750.00,5249.99,181.70
5250.00,5749.99,199.80
5750.00,6249.99,218.00
6250.00,6749.99,236.20
6750.00,7249.99,254.30
7250.00,7749.99,272.50
7750.00,8249.99,290.70
8250.00,8749.99,308.80
8750.00,9249.99,327.00
9250.00,9749.99,345.20
9750.00,10249.99,363.30
10250.00,10749.99,381.50
10750.00,11249.99,399.70
11250.00,11749.99,417.80
11750.00,12249.99,436.00
12250.00,12749.99,454.20
12750.00,13249.99,472.30
13250.00,13749.99,490.50
13750.00,14249.99,508.70
14250.00,14749.99,526.80
14750.00,15249.99,545.00
15250.00,15749.99,563.20
15750.00,999999999.00,581.30
